id,c_val,h_val,o_val,t_val
3711,120.82,70,153.59,22.8
3714,120.82,70,153.59,22.8
3716,120.82,70,153.59,22.8
3718,120.82,70,153.59,22.8
3722,120.82,70,153.59,22.8
3724,120.82,70,153.59,22.8
3726,120.82,70,153.59,22.8
3728,120.82,70,153.59,22.8
3730,120.82,70,153.59,22.8
3732,120.82,70,153.59,22.8
3736,120.82,70,153.59,22.8
3741,120.82,70,153.59,22.8
3849,69.82,56.5,53.59,22.8
3853,69.82,56.5,53.59,22.8
3863,69.82,56.5,53.59,22.8
3886,69.82,56.5,53.59,22.8
3927,69.82,70,22.59,22.8
3953,120.82,70,153.59,22.8
3955,120.82,70,153.59,22.8
3969,120.82,70,153.59,22.8
4231,120.82,70,153.59,22.8
4237,120.82,70,153.59,22.8
4239,120.82,70,153.59,22.8
4245,120.82,70,153.59,22.8
4250,120.82,70,153.59,22.8
4257,120.82,70,153.59,22.8
4263,120.82,70,153.59,22.8
4266,120.82,70,153.59,22.8
4271,120.82,70,153.59,22.8
4273,120.82,70,153.59,22.8
4434,120.82,70,153.59,22.8
4469,120.82,70,153.59,22.8
4483,120.82,70,153.59,22.8
4627,120.82,70,153.59,22.8
4629,120.82,70,153.59,22.8
4631,120.82,70,153.59,22.8
4633,120.82,70,153.59,22.8
4635,120.82,70,153.59,22.8
4637,120.82,70,153.59,22.8
4639,120.82,70,153.59,22.8
4641,120.82,70,153.59,22.8
4643,120.82,70,153.59,22.8
4645,120.82,70,153.59,22.8
4647,120.82,70,153.59,22.8
4649,120.82,70,153.59,22.8
4651,120.82,70,153.59,22.8
4653,120.82,70,153.59,22.8
4698,120.82,70,153.59,22.8
4728,120.82,70,153.59,22.8
4737,120.82,70,153.59,22.8
4814,120.82,70,153.59,22.8
4816,120.82,70,153.59,22.8
4818,120.82,70,153.59,22.8
4820,120.82,70,153.59,22.8
4822,120.82,70,153.59,22.8
4824,120.82,70,153.59,22.8
4826,120.82,70,153.59,22.8
4828,120.82,70,153.59,22.8
4854,69.82,70,22.59,22.8
4870,69.82,70,22.59,22.8
4877,69.82,70,22.59,22.8
4902,120.82,70,153.59,22.8
4904,120.82,70,153.59,22.8
4906,120.82,70,153.59,22.8
5101,69.82,56.5,53.59,22.8
5104,69.82,56.5,53.59,22.8
5485,69.82,70,22.59,22.8
5508,69.82,70,22.59,22.8
5584,120.82,70,153.59,22.8
5586,120.82,70,153.59,22.8
5588,120.82,70,153.59,22.8
5628,120.82,70,153.59,22.8
5871,69.82,70,22.59,22.8
5873,69.82,70,22.59,22.8
5992,69.82,70,22.59,22.8
6001,69.82,70,22.59,22.8
6161,120.82,70,153.59,22.8
6173,86.33,58.5,55.33,33.6
6218,120.82,70,153.59,22.8
6220,120.82,70,153.59,22.8
6224,120.82,70,153.59,22.8
6240,69.82,70,22.59,22.8
6474,120.82,70,153.59,22.8
6508,120.82,70,153.59,22.8
6675,0,62,0,22
6693,68.43,47,45.49,25
6695,68.43,47,45.49,25
6697,68.43,47,45.49,25
6699,68.43,47,45.49,25
6701,69.91,47,45.49,25
6703,69.91,48,45.49,26
6707,69.91,46,45.49,25
6709,69.91,46,45.49,25
6711,69.91,46,45.49,25
6713,69.91,46,45.49,25
6715,69.91,46,45.49,25
6717,69.91,46,45.49,25
6719,69.91,46,45.49,25
6721,69.91,46,45.49,25
6723,69.91,46,45.49,25
6725,69.91,46,45.49,25
6727,69.91,46,45.49,25
6729,69.91,46,45.49,25
6731,69.91,46,45.49,25
6733,69.91,46,45.49,25
6740,69.91,46,45.49,25
6742,69.91,46,45.49,25
6744,66.3,47,45.49,25
6803,67.59,49,47.33,25
6812,67.59,50,47.33,23
6822,67.59,50,47.33,23
6934,69.82,56.5,53.59,22.8
7382,66.73,46,38.91,23
