id,admin_area,cid,cnty,lat,location,lon,parent_city,tz
371,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
373,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
375,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
379,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
381,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
383,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
393,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
400,北京,CN101010300,中国,39.92148972,朝阳,116.48641205,北京,+8.00
405,北京,CN101010300,中国,39.92148972,朝阳,116.48641205,北京,+8.00
413,江苏,CN101190206,中国,31.55022812,滨湖,120.26605225,无锡,+8.00
415,北京,CN101010900,中国,39.86364365,丰台,116.28696442,北京,+8.00
417,北京,CN101010900,中国,39.86364365,丰台,116.28696442,北京,+8.00
419,北京,CN101010900,中国,39.86364365,丰台,116.28696442,北京,+8.00
421,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
429,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
437,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
439,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
441,湖北,CN101200111,中国,30.54653549,武昌,114.30734253,武汉,+8.00
443,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
445,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
447,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
449,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
451,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
453,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
455,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
457,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
460,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
461,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
490,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
492,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
501,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
503,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
511,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
520,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
528,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
530,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
571,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
576,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
583,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
591,江苏,CN101190405,中国,31.27083969,吴中,120.62461853,苏州,+8.00
599,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
603,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
609,上海,CN101021700,中国,31.27075577,杨浦,121.52279663,上海,+8.00
611,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
615,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
627,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
631,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
633,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
635,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
639,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
641,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
643,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
645,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
647,江苏,CN101190409,中国,31.39668465,相城,120.61895752,苏州,+8.00
655,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
657,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
661,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
665,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
680,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
688,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
690,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
692,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
694,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
696,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
698,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
700,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
702,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
704,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
706,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
708,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
710,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
712,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
714,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
716,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
718,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
720,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
722,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
726,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
728,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
732,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
736,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
738,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
740,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
742,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
744,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
746,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
748,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
752,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
754,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
757,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
759,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
761,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
763,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
765,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
767,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
769,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
771,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
773,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
775,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
777,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
779,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
781,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
783,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
785,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
787,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
789,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
791,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
793,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
795,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
799,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
803,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
805,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
807,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
809,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
811,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
813,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
815,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
817,江苏,CN101190406,中国,31.29484558,虎丘,120.5668335,苏州,+8.00
819,上海,CN101021600,中国,31.26096916,虹口,121.49182892,上海,+8.00
825,海南,CN101310202,中国,19.10198021,东方,108.65378571,东方,+8.00
832,海南,CN101310202,中国,19.10198021,东方,108.65378571,东方,+8.00
842,上海,CN101021600,中国,31.26096916,虹口,121.49182892,上海,+8.00
848,上海,CN101021600,中国,31.26096916,虹口,121.49182892,上海,+8.00
854,海南,CN101310202,中国,19.10198021,东方,108.65378571,东方,+8.00
861,海南,CN101310202,中国,19.10198021,东方,108.65378571,东方,+8.00
868,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
870,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
877,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
882,江苏,CN101190407,中国,31.16040421,吴江,120.64160156,苏州,+8.00
